ID,Year,JT,Age,OR_cal,IW_cal
TS_92,14,52,2,13.1219833,1.478755237
TS_92,14,52,3,14.60073854,1.232671159
TS_92,14,52,4,15.8334097,1.117131683
TS_92,14,52,5,16.95054138,0.901808115
TS_92,14,52,6,17.85234949,0.999341438
TS_92,14,52,7,18.85169093,0.931818368
TS_92,14,52,8,19.7835093,0.82903325
TS_92,14,52,9,20.61254255,0.606207119
TS_92,14,52,10,21.21874967,1.137388604
TS_92,14,52,11,22.35613827,1.538775743
TS_92,14,52,12,23.89491402,1.796863923
TS_92,14,52,13,25.69177794,1.773605976
TS_92,14,52,14,27.46538392,1.937912114
TS_92,14,52,15,29.40329603,2.79845613
TS_92,14,52,16,32.20175216,3.21409814
TS_92,14,52,17,35.4158503,2.948507397
TS_92,14,52,18,38.3643577,3.430171964
TS_92,14,52,19,41.79452966,3.060295591
TS_92,14,52,20,44.85482525,4.097900103
TS_92,14,52,21,48.95272536,4.10465241
TS_92,14,52,22,53.05737776,4.432514428
TS_92,14,52,23,57.48989219,4.385248279
TS_92,14,52,24,61.87514047,4.983952834
TS_92,14,52,25,66.85909331,4.390500073
TS_92,14,52,26,71.24959338,4.093398565
TS_92,14,52,27,75.34299194,6.129594258
TS_92,14,52,28,81.4725862,5.606665593
TS_92,14,52,29,87.07925179,6.368926029
TS_92,14,52,30,93.44817782,5.347827157
TS_92,14,52,31,98.79600498,5.46786817
TS_92,14,52,32,104.2638732,7.096674674
TS_92,14,52,33,111.3605478,6.233129632
TS_92,14,52,34,117.5936775,5.97354094
TS_92,14,52,35,123.5672184,5.829491724
TS_92,14,52,36,129.3967101,6.783817782
TS_92,14,52,37,136.1805279,6.685534202
TS_92,14,52,38,142.8660621,6.755308042
TS_92,14,52,39,149.6213701,8.151535081
TS_92,14,52,40,157.7729052,8.99107192
TS_92,14,52,41,166.7639771,7.956468434
TS_92,14,52,42,174.7204456,9.333939065
TS_92,14,52,43,184.0543846,10.68665124
TS_92,14,52,44,194.7410359,9.698563644
TS_92,14,52,45,204.4395995,12.34621825
TS_92,14,52,46,216.7858178,12.37247722
TS_92,14,52,47,229.158295,12.73034949
TS_92,14,52,48,241.8886445,11.38739065
TS_92,14,52,49,253.2760352,13.26828329
TS_92,14,52,50,266.5443184,14.71627801
TS_92,14,52,51,281.2605965,14.0875632
TS_92,14,52,52,295.3481597,15.83716098
TS_92,14,52,53,311.1853206,13.16474791
TS_92,14,52,54,324.3500686,12.82863307
TS_92,14,52,55,337.1787016,14.91809697
TS_92,14,52,56,352.0967986,25.65801641
TS_92,14,52,57,377.754815,23.56930277
TS_92,14,52,58,401.3241178,19.21931654
TS_92,14,52,59,420.5434343,24.11548938
TS_92,14,52,60,444.6589237,20.80985997
TS_92,14,52,61,465.4687837,18.97023143
TS_92,14,52,62,484.4390151,15.9999666
TS_92,14,52,63,500.4389817,17.88761154
TS_92,14,52,64,518.3265932,17.55299722
TS_92,14,52,65,535.8795904,15.78614355
TS_92,14,52,66,551.665734,14.26012216
TS_92,14,52,67,565.9258562,15.89192969
TS_92,14,52,68,581.8177859,18.14344895
TS_92,14,52,69,599.9612348,14.09506577
TS_92,14,52,70,614.0563006,17.13360393
TS_92,14,52,71,631.1899045,15.98871276
TS_92,14,52,72,647.1786173,19.48265651
TS_92,14,52,73,666.6612738,15.14392412
TS_92,14,52,74,681.8051979,15.82365636
TS_92,14,52,75,697.6288543,15.17318412
TS_92,14,52,76,712.8020384,18.30775509
TS_92,14,52,77,731.1097935,13.80396631
TS_92,14,52,78,744.9137598,15.6976133
TS_92,14,52,79,760.6113731,13.37707046
TS_92,14,52,80,773.9884435,12.89165461
